 00Z 06 Mar 2017   0.00  13.94
 12Z 06 Mar 2017   0.00  19.33
 00Z 07 Mar 2017   0.00  9.06
 12Z 07 Mar 2017   0.00  3.25
 00Z 08 Mar 2017   25.01  4.20
 12Z 08 Mar 2017   0.00  5.85
 00Z 09 Mar 2017   0.00  6.67
 12Z 09 Mar 2017   0.00  10.65
 00Z 10 Mar 2017   0.00  10.48
 12Z 10 Mar 2017   0.00  7.80
 00Z 11 Mar 2017   0.00  10.04
 12Z 11 Mar 2017   0.00  9.01
 00Z 12 Mar 2017   0.00  7.90
 12Z 12 Mar 2017   0.00  6.85
 00Z 13 Mar 2017   0.00  12.22
 12Z 13 Mar 2017   0.00  8.70
 00Z 14 Mar 2017   0.00  6.69
 12Z 14 Mar 2017   0.00  9.28
 00Z 15 Mar 2017   0.00  6.05
 12Z 15 Mar 2017   0.00  8.88
 00Z 16 Mar 2017   0.00  12.72
 12Z 16 Mar 2017   0.00  15.30
 00Z 17 Mar 2017   0.00  14.17
 12Z 17 Mar 2017   0.00  13.93
 00Z 18 Mar 2017   0.00  7.04
 12Z 18 Mar 2017   0.00  7.60
 00Z 19 Mar 2017   0.00  12.45
 12Z 19 Mar 2017   0.00  17.10
 00Z 20 Mar 2017   840.33  21.82
 12Z 20 Mar 2017   0.00  18.56
 00Z 21 Mar 2017   0.00  14.20
 12Z 21 Mar 2017   0.00  17.44
 00Z 22 Mar 2017   0.00  14.33
 12Z 22 Mar 2017   0.00  17.23
 00Z 23 Mar 2017   0.00  15.62
 12Z 23 Mar 2017   0.00  23.51
 00Z 24 Mar 2017   5.85  25.70
 12Z 24 Mar 2017   0.00  28.31
 00Z 25 Mar 2017   0.00  23.35
 12Z 25 Mar 2017   0.00  23.89
 00Z 26 Mar 2017   0.00  22.12
 12Z 26 Mar 2017   0.00  19.44
 00Z 27 Mar 2017   0.00  16.51
 12Z 27 Mar 2017   0.00  17.78
 00Z 28 Mar 2017   0.00  11.86
 12Z 28 Mar 2017   0.00  14.58
 00Z 29 Mar 2017   0.00  16.08
 12Z 29 Mar 2017   0.00  23.17
 00Z 30 Mar 2017   0.00  20.98
 12Z 30 Mar 2017   0.00  20.20
 00Z 31 Mar 2017   0.00  14.65
 12Z 31 Mar 2017   0.00  13.92
 00Z 01 Apr 2017   0.00  14.76
 12Z 01 Apr 2017   0.00  17.25
 00Z 02 Apr 2017   0.00  20.64
 12Z 02 Apr 2017   0.00  18.76
 00Z 03 Apr 2017   0.00  14.95
 12Z 03 Apr 2017   0.00  16.47
 00Z 04 Apr 2017   3.65  18.05
 12Z 04 Apr 2017   0.62  14.99
 00Z 05 Apr 2017   4.27  11.99
 12Z 05 Apr 2017   0.00  8.58
 00Z 06 Apr 2017   0.00  10.03
 12Z 06 Apr 2017   0.00  6.82
 00Z 07 Apr 2017   0.00  5.01
 12Z 07 Apr 2017   0.00  5.90
 00Z 08 Apr 2017   0.00  13.33
 12Z 08 Apr 2017   0.00  14.89
 00Z 09 Apr 2017   0.00  17.16
 12Z 09 Apr 2017   81.38  22.59
 00Z 10 Apr 2017   979.46  16.41
 12Z 10 Apr 2017   0.00  11.34
 00Z 11 Apr 2017   0.00  11.06
 12Z 11 Apr 2017   0.00  5.90
 00Z 12 Apr 2017   0.00  8.19
 12Z 12 Apr 2017   0.00  12.86
 00Z 13 Apr 2017   2.71  22.12
 12Z 13 Apr 2017   0.00  22.08
 00Z 14 Apr 2017   165.84  20.48
 12Z 14 Apr 2017   3.72  27.99
 00Z 15 Apr 2017   820.10  26.42
 12Z 15 Apr 2017   0.00  24.36
 00Z 16 Apr 2017   1216.52  22.93
 12Z 16 Apr 2017   0.00  10.15
 00Z 17 Apr 2017   0.00  8.57
 12Z 17 Apr 2017   0.00  17.04
 00Z 18 Apr 2017   0.00  16.92
 12Z 18 Apr 2017   0.00  26.52
 00Z 19 Apr 2017   23.10  24.25
 12Z 19 Apr 2017   0.00  31.01
 21Z 19 Apr 2017   337.43  26.04
 00Z 20 Apr 2017   1.28  31.38
 12Z 20 Apr 2017   0.00  9.88
 00Z 21 Apr 2017   0.00  10.55
 12Z 21 Apr 2017   0.00  10.47
 00Z 22 Apr 2017   0.00  8.90
 12Z 22 Apr 2017   0.00  8.24
 00Z 23 Apr 2017   0.00  6.50
 12Z 23 Apr 2017   0.00  5.68
 00Z 24 Apr 2017   0.00  5.12
 12Z 24 Apr 2017   0.00  10.72
 00Z 25 Apr 2017   0.00  19.80
 12Z 25 Apr 2017   0.00  20.36
 00Z 26 Apr 2017   0.00  24.86
 12Z 26 Apr 2017   0.00  14.52
 00Z 27 Apr 2017   0.00  11.79
 12Z 27 Apr 2017   0.00  8.92
 00Z 28 Apr 2017   0.00  12.24
 12Z 28 Apr 2017   0.00  17.01
 00Z 29 Apr 2017   0.00  13.98
 12Z 29 Apr 2017   0.00  17.31
 00Z 30 Apr 2017   0.00  21.46
 12Z 30 Apr 2017   0.00  26.32
 00Z 01 May 2017   0.00  15.31
 12Z 01 May 2017   0.00  13.85
 00Z 02 May 2017   0.00  9.85
 12Z 02 May 2017   0.00  11.04
 00Z 03 May 2017   1.07  13.66
 12Z 03 May 2017   0.00  13.90
 00Z 04 May 2017   0.04  15.48
 12Z 04 May 2017   0.00  8.13
 00Z 05 May 2017   0.00  10.09
 12Z 05 May 2017   0.00  10.84
 00Z 06 May 2017   0.00  11.83
 12Z 06 May 2017   0.00  13.38
 00Z 07 May 2017   0.00  9.71
 12Z 07 May 2017   0.00  17.71
 00Z 08 May 2017   6.65  22.53
 12Z 08 May 2017   0.00  27.73
 00Z 09 May 2017   611.67  26.38
 12Z 09 May 2017   0.00  26.62
 00Z 10 May 2017   0.00  26.69
 12Z 10 May 2017   0.00  28.57
 00Z 11 May 2017   0.00  26.86
 12Z 11 May 2017   0.00  18.66
 00Z 12 May 2017   0.00  9.47
 12Z 12 May 2017   0.00  10.26
 00Z 13 May 2017   0.00  13.32
 12Z 13 May 2017   0.00  11.31
 00Z 14 May 2017   0.00  8.64
 12Z 14 May 2017   0.00  20.79
 00Z 15 May 2017   547.24  21.81
 12Z 15 May 2017   281.54  29.76
 00Z 16 May 2017   1381.76  25.22
 12Z 16 May 2017   365.16  29.59
 18Z 16 May 2017   1540.71  23.82
 12Z 17 May 2017   70.58  28.87
 18Z 17 May 2017   990.88  23.84
 00Z 18 May 2017   183.22  28.15
 12Z 18 May 2017   0.00  19.65
 00Z 19 May 2017   0.00  20.02
 12Z 19 May 2017   0.00  24.45
 00Z 20 May 2017   0.00  28.96
 12Z 20 May 2017   0.00  27.90
 00Z 21 May 2017   0.00  15.73
 12Z 21 May 2017   0.00  13.43
 00Z 22 May 2017   0.00  10.68
 12Z 22 May 2017   0.00  16.79
 00Z 23 May 2017   123.91  19.71
 12Z 23 May 2017   0.00  13.94
 00Z 24 May 2017   0.00  15.18
 12Z 24 May 2017   0.00  14.68
 00Z 25 May 2017   0.00  11.51
 12Z 25 May 2017   0.00  20.12
 00Z 26 May 2017   0.00  23.22
 12Z 26 May 2017   0.00  28.00
 00Z 27 May 2017   0.00  13.67
 12Z 27 May 2017   0.00  22.54
 00Z 28 May 2017   9.31  22.35
 12Z 28 May 2017   0.00  14.97
 00Z 29 May 2017   0.00  10.78
 12Z 29 May 2017   0.00  13.44
 00Z 30 May 2017   0.00  10.88
 12Z 30 May 2017   0.00  11.62
 00Z 31 May 2017   0.00  10.99
 12Z 31 May 2017   0.00  8.40
 00Z 01 Jun 2017   0.00  16.85
 12Z 01 Jun 2017   0.00  16.49
