 06 06 2017,   0.00, 16.12
 07 06 2017,   0.00, 20.78
 08 06 2017,   0.00, 19.46
 09 06 2017,   0.00, 20.48
 10 06 2017,   26.54,  24.37
 11 06 2017,   2230.32,  34.03
 12 06 2017,   2745.54,  40.16
 13 06 2017,   1429.74,  39.66
 14 06 2017,   3136.92,  32.00
 15 06 2017,   266.07,  19.61
 16 06 2017,   1909.53,  33.24
 17 06 2017,   2922.33,  42.92
 18 06 2017,   0.09,  36.84
 19 06 2017,   28.26,  19.59
 20 06 2017,   51.95,  19.56
 21 06 2017,   0.00, 26.42
 22 06 2017,  1870.13,  37.24
 23 06 2017,   2009.57,  40.40
 24 06 2017,   5.20,  18.14
 25 06 2017,   19.26,  15.01
 26 06 2017,   0.00, 13.12
 27 06 2017,   0.00, 11.48
 28 06 2017,   1015.96,  32.40
 29 06 2017,   935.62,  21.62
 30 06 2017,   1750.36,  34.62
 01 07 2017,   599.65,  31.02
 02 07 2017,   120.73,  31.39
 03 07 2017,   915.00, 26.21
 04 07 2017,   0.00, 26.79
 05 07 2017,   2159.38,  35.52
 06 07 2017,   1011.61,  24.43
 07 07 2017,   3866.39,  43.78
 08 07 2017,   19.39,  23.50
 09 07 2017,   433.72,  27.25
 10 07 2017,   3334.67,  34.81
 11 07 2017,   2457.41,  36.06
 12 07 2017,   3218.48, 42.88
 13 07 2017,   17.42,  42.09
 14 07 2017,   184.46,  31.70
 15 07 2017,   551.65,  25.28
 16 07 2017,  2439.69,  32.44
 17 07 2017,  1870.05,  30.70
 18 07 2017,   1188.83,  25.41
 19 07 2017,   2809.21,  50.80
 20 07 2017,   4327.69,  43.49
 21 07 2017,   3166.03,  47.58
 22 07 2017,   4139.22,  48.08
 23 07 2017,   888.35,  28.89
 24 07 2017,   0.00, 23.91
 25 07 2017,   500.12,  33.86
 26 07 2017,   1099.67,  30.50
 27 07 2017,   26.68,  50.93
 28 07 2017,   0.00, 28.67
 29 07 2017,   4.61,  34.78
 30 07 2017,   12.07,  35.92
 31 07 2017,   4.72,  33.55
 01 08 2017,   33.71,  35.85
 02 08 2017,   633.94,  29.42
 03 08 2017,   2038.30,  28.48
 04 08 2017,   1.50,  17.16
 05 08 2017,   0.00, 16.51
 06 08 2017,   0.00, 34.16
 07 08 2017,   22.37,  28.39
 08 08 2017,   197.53,  25.68
 09 08 2017,   236.17,  29.25
 10 08 2017,   324.47,  32.45
 11 08 2017,   4.03,  31.96
 12 08 2017,   26.88,  22.33
 13 08 2017,   8.85,  27.09
 14 08 2017,   598.62,  29.92
 15 08 2017,   587.32,  34.57
 16 08 2017,   2404.43,  47.12
 17 08 2017,   192.88,  35.41
 18 08 2017,   186.47,  22.40
 19 08 2017,   2013.84,  23.16
 20 08 2017,   726.42,  30.15
 21 08 2017,   1800.59,  40.96
 22 08 2017,   1341.29,  38.14
 23 08 2017,   0.00, 13.73
 24 08 2017,   0.00, 25.98
 25 08 2017,   25.33,  29.69
 26 08 2017,   778.77,  32.33
 27 08 2017,   2639.01,  35.43
 28 08 2017,   783.11,  21.33
 29 08 2017,   0.00, 20.87
 30 08 2017,   2.67,  22.92
 31 08 2017,   287.76,  24.17
 01 09 2017,   273.55,  27.30
 02 09 2017,   314.66,  36.16
 03 09 2017,   449.90,  31.86
 04 09 2017,   738.78,  26.38
 05 09 2017,  0.00, 25.60
 06 09 2017,  4.16,  12.13
 07 09 2017,   0.00, 15.92
 08 09 2017,   0.00, 18.25
 09 09 2017,   384.38,  30.76
 10 09 2017,   3.29,  27.92
 11 09 2017,   0.28,  32.03
 13 09 2017,   12.04,  27.29
 14 09 2017,   27.33,  29.02
 15 09 2017,   208.62,  29.17
 16 09 2017,   934.69,  35.18
 17 09 2017,   0.00, 37.82
 18 09 2017,   0.00, 22.54
 19 09 2017,   966.73,  31.69
 20 09 2017,   2594.97,  30.40
 21 09 2017,   0.00, 17.39
 22 09 2017,   3590.22,  32.46
 23 09 2017,   1503.31,  35.33
 24 09 2017,   261.41,  31.44
 25 09 2017,   72.18,  50.19
 26 09 2017,   0.00, 34.97
 27 09 2017,   0.00, 15.78
 28 09 2017,   0.00, 16.35
 29 09 2017,   0.00, 14.57
 30 09 2017,   0.00, 20.75
 01 10 2017,   0.00, 26.73
 02 10 2017,   63.84,  30.39
 04 10 2017,   0.00, 27.25
 05 10 2017,   0.00, 26.20
 06 10 2017,   0.00, 40.23
 07 10 2017,   0.00, 38.35
 08 10 2017,   0.00, 14.64
 09 10 2017,   0.00, 19.87
 10 10 2017,   0.00, 20.73
 11 10 2017,   0.00, 16.25
 12 10 2017,   0.00, 8.12
 13 10 2017,   0.00, 17.12
 14 10 2017,   0.00, 23.70
 15 10 2017,   0.00, 25.57
 16 10 2017,   0.00, 9.60
 17 10 2017,   0.00, 10.48
 18 10 2017,   0.00, 11.94
 19 10 2017,   0.00, 12.78
 20 10 2017,   0.00, 13.63
 21 10 2017,   72.12,  32.49
 22 10 2017,   0.00, 21.95
 23 10 2017,   0.00, 8.64
 24 10 2017,   0.00, 10.37
 25 10 2017,   0.00, 6.46
 26 10 2017,   0.00, 9.17
 27 10 2017,   0.00, 12.42
 28 10 2017,   0.00, 6.38
 29 10 2017,   0.00, 5.01
 30 10 2017,   0.00, 19.24
 31 10 2017,   1.01,  6.30
 01 11 2017,   0.00, 9.37
 02 11 2017,   0.00, 14.65
 03 11 2017,   0.00, 13.54
 04 11 2017,   0.00, 18.98
 05 11 2017,   0.00, 14.07
 06 11 2017,   0.00, 10.52
 07 11 2017,   0.00, 9.47
 08 11 2017,   0.00, 9.09
 09 11 2017,   0.00, 7.81
 10 11 2017,   0.00, 7.23
 12 11 2017,   0.00, 17.49
 13 11 2017,   0.00, 7.28
 14 11 2017,   0.00, 15.93
 15 11 2017,   0.00, 17.71
 16 11 2017,   0.00, 4.84
 17 11 2017,   0.00, 13.48
 18 11 2017,   0.00, 21.19
 19 11 2017,   0.00, 6.59
 20 11 2017,   0.00, 7.23
 21 11 2017,   0.00, 8.01
 22 11 2017,   0.00, 3.83
 23 11 2017,   0.00, 16.58
 24 11 2017,   0.00, 15.60
 25 11 2017,   0.00, 10.53
 26 11 2017,   0.00, 9.73
 27 11 2017,   0.00, 10.95
 28 11 2017,   0.00, 10.85
 29 11 2017,   0.00, 5.81
 30 11 2017,   0.00, 11.00
 01 12 2017,   0.00, 5.42
 02 12 2017,   0.00, 10.62
 03 12 2017,   0.00, 7.52
 04 12 2017,   0.00, 15.13
 05 12 2017,   0.00, 8.16
 06 12 2017,   0.00, 7.03
 07 12 2017,   0.00, 3.40
 08 12 2017,   0.00, 3.16
 09 12 2017,   0.00, 8.61
 10 12 2017,   0.00, 6.67
 11 12 2017,   0.00, 13.13
 12 12 2017,   3.91,  5.94
 13 12 2017,   0.00, 11.37
 14 12 2017,   0.00, 7.65
 15 12 2017,   0.00, 9.49
 16 12 2017,   0.00, 10.16
 17 12 2017,   0.00, 9.10
 18 12 2017,   0.00, 12.00
 19 12 2017,   0.00, 10.44
 20 12 2017,   0.00, 9.41
 21 12 2017,   0.00, 11.71
 22 12 2017,   0.00, 12.63
 23 12 2017,   0.00, 5.50
 24 12 2017,   0.00, 7.40
 25 12 2017,   0.00, 3.07
 26 12 2017,   0.00, 5.32
 27 12 2017,   0.00, 2.38
 28 12 2017,   0.00, 7.80
 29 12 2017,   0.00, 4.36
 30 12 2017,   0.00, 9.60
 31 12 2017,   0.00, 7.94
