  01 01 2017,  0.00,  7.17
  02 01 2017,  0.00,  14.77
  03 01 2017,  0.00,  7.48
  04 01 2017,  0.00,  3.61
  05 01 2017,  0.00,  2.93
  06 01 2017,  0.00,  1.83
  07 01 2017,  0.00,  4.32
  08 01 2017,  0.00,  3.64
  09 01 2017,  0.00,  12.32
  10 01 2017,  0.00,  18.23
  11 01 2017,  0.00,  9.05
  12 01 2017,  0.00,  8.56
  13 01 2017,  0.00, 7.36
  14 01 2017,  0.00, 9.65
  15 01 2017,  0.00, 10.41
  16 01 2017,  0.00,  21.72
  17 01 2017,  0.00,  7.86
  18 01 2017,  0.00,  7.05
  19 01 2017,  0.00,  14.17
  20 01 2017,  0.00,  11.83
  21 01 2017,  0.00,  12.53
  22 01 2017,  0.00,  7.97
  23 01 2017,  0.00,  5.84
  24 01 2017,  0.00,  13.08
  25 01 2017,  0.00,  8.47
  26 01 2017,  0.00,  6.10
  27 01 2017,  0.00, 4.50
  28 01 2017,  0.00, 6.07
  29 01 2017,  0.00,  7.82
  30 01 2017,  0.00,  8.76
  31 01 2017,  0.00,  8.50
  01 02 2017,  0.00,  9.11
  02 02 2017,  0.00,  5.02
  03 02 2017,  0.00,  4.72
  04 02 2017,  0.00,  8.17
  05 02 2017,  0.00,  7.89
  06 02 2017,  0.00,  10.62
  07 02 2017,  0.00, 8.58
  08 02 2017,  0.00, 10.89
  09 02 2017,  0.00,  7.27
  10 02 2017,  0.00,  15.46
  11 02 2017,  0.00,  17.59
  12 02 2017,  0.00,  5.78
  13 02 2017,  0.00,  4.70
  14 02 2017,  0.00,  3.87
  15 02 2017,  0.00,  5.92
  16 02 2017,  0.00,  7.64
  17 02 2017,  0.00,  5.20
  18 02 2017,  0.00,  5.69
  19 02 2017,  0.00,  16.01
  20 02 2017,  0.00,  32.76
  21 02 2017,  0.00,  7.22
  22 02 2017,  0.00,  10.19
  23 02 2017,  0.00,  13.06
  24 02 2017,  0.00,  8.82
  25 02 2017,  0.00,  2.97
  26 02 2017,  0.00,  4.48
  27 02 2017,  0.00,  4.06
  28 02 2017,  0.00,  8.79
  02 03 2017,  0.00,  5.91
  03 03 2017,  0.00,  7.31
  04 03 2017,  0.00,  4.83
  05 03 2017,  0.00, 14.69
  06 03 2017,  0.00, 19.33
  07 03 2017,  0.00,  3.25
  08 03 2017,  0.00, 5.85
  09 03 2017,  0.00, 10.65
  10 03 2017,  0.00,  7.80
  11 03 2017,  0.00,  9.01
  12 03 2017,  0.00,  6.85
  13 03 2017,  0.00,  8.70
  14 03 2017,  0.00,  9.28
  15 03 2017,  0.00,  8.88
  16 03 2017,  0.00,  15.30
  17 03 2017,  0.00,  13.93
  18 03 2017,  0.00,  7.60
  19 03 2017,  0.00,  17.10
  20 03 2017,  0.00,  18.56
  21 03 2017,  0.00,  17.44
  22 03 2017,  0.00,  17.23
  23 03 2017,  0.00,  23.51
  24 03 2017,  0.00,  28.31
  25 03 2017,  0.00,  23.89
  26 03 2017,  0.00,  19.44
  27 03 2017,  0.00,  17.78
  28 03 2017,  0.00,  14.58
  29 03 2017,  0.00,  23.17
  30 03 2017,  0.00,  20.20
  31 03 2017,  0.00,  13.92
  01 04 2017,  0.00,  17.25
  02 04 2017,  0.00,  18.76
  03 04 2017,  0.00,  16.47
  04 04 2017,  0.62,  14.99
  05 04 2017,  0.00,  8.58
  06 04 2017,  0.00,  6.82
  07 04 2017,  0.00,  5.90
  08 04 2017,  0.00,  14.89
  09 04 2017,  81.38,  22.59
  10 04 2017,  0.00, 11.34
  11 04 2017,  0.00,  5.90
  12 04 2017,  0.00,  12.86
  13 04 2017,  0.00,  22.08
  14 04 2017,  3.72,  27.99
  15 04 2017,  0.00,  24.36
  16 04 2017,  0.00,  10.15
  17 04 2017,  0.00,  17.04
  18 04 2017,  0.00,  26.52
  19 04 2017,  0.00,  31.01
  20 04 2017,  0.00,  9.88
  21 04 2017,  0.00,  10.47
  22 04 2017,  0.00,  8.24
  23 04 2017,  0.00,  5.68
  24 04 2017,  0.00,  10.72
  25 04 2017,  0.00,  20.36
  26 04 2017,  0.00,  14.52
  27 04 2017,  0.00,  8.92
  28 04 2017,  0.00,  17.01
  29 04 2017,  0.00, 17.31
  30 04 2017,  0.00, 26.32
  01 05 2017,  0.00, 13.85
  02 05 2017,  0.00,  11.04
  03 05 2017,  0.00,  13.90
  04 05 2017,  0.00,  8.13
  05 05 2017,  0.00,  10.84
  06 05 2017,  0.00,  13.38
  07 05 2017,  0.00,  17.71
  08 05 2017,  0.00,  27.73
  09 05 2017,  0.00,  26.62
  10 05 2017,  0.00,  28.57
  11 05 2017,  0.00,  18.66
  12 05 2017,  0.00,  10.26
  13 05 2017,  0.00,  11.31
  14 05 2017,  0.00,  20.79
  15 05 2017,  281.54,  29.76
  16 05 2017,  365.16,  29.59
  17 05 2017,  70.58,  28.87
  18 05 2017,  0.00,  19.65
  19 05 2017,  0.00,  24.45
  20 05 2017,  0.00,  27.90
  21 05 2017,  0.00,  13.43
  22 05 2017,  0.00,  16.79
  23 05 2017,  0.00,  13.94
  24 05 2017,  0.00,  14.68
  25 05 2017,  0.00, 20.12
  26 05 2017,  0.00,  28.00
  27 05 2017,  0.00,  22.54
  28 05 2017,  0.00,  14.97
  29 05 2017,  0.00,  13.44
  30 05 2017,  0.00,  11.62
  31 05 2017,  0.00,  8.40
  01 06 2017,  0.00,  16.49
  02 06 2017,  246.50,  30.15
  03 06 2017,  15.02,  20.08
  04 06 2017,  458.80,  28.43
  05 06 2017,  0.00,  18.54
